file,config,protocol,n,speed,alpha,position,rep,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,GPSRCS,100,slow,,default,2,1000.0,971.0,0.971,11.630150426669,,,,,,1.0,0.6122894572676232,0.016,0.020294105121729,0.18096926057279,0.0,2.4138871375338,1000.0,0.020900211247919,0.18362002175479,0.0,2.4138871375338,971.0,13,13,2,0
GPSRCS-100veh-e300-rep3-#0.sca,GPSRCS-100veh,GPSRCS,100,slow,,default,3,1000.0,959.0,0.959,7.2684729177623,,,,,,1.0,0.6093853271645737,0.435,0.5822911893664,1.199463087763,0.0,6.6235709984801,1000.0,0.45825578128089,1.2366856571805,0.0,6.6235709984801,959.0,23,23,0,0
GPSRCS-100veh-e500-rep1-#0.sca,GPSRCS-100veh,GPSRCS,100,slow,,default,1,1000.0,965.0,0.965,8.0809374792725,,,,,,1.0,0.7185534591194969,0.817,1.8632757502784,1.6879455935627,0.0,8.9037723864948,1000.0,1.2297908459481,1.9164231178274,0.0,8.9037723864948,965.0,23,23,1,0
GPSRCS-100veh-e700-rep4-#0.sca,GPSRCS-100veh,GPSRCS,100,slow,,default,4,1000.0,961.0,0.961,13.708626348505002,,,,,,1.0,0.686429512516469,0.828,2.310505971568,1.6188394383808,0.0,8.0815186707753,1000.0,1.079633736566,1.7924687714133,0.0,8.0815186707753,961.0,28,28,2,0
GPSRCS-100veh-e900-rep5-#0.sca,GPSRCS-100veh,GPSRCS,100,slow,,default,5,1000.0,971.0,0.971,9.2653979510793,,,,,,1.0,0.7605898964543458,0.857,2.8684315386348,1.6351202769616,0.0,7.0563975932199,1000.0,1.2224606196564,1.6061156142485,0.0,7.0563975932199,971.0,16,16,1,0
GPSRCS-100veh-fast-e100-rep2-#0.sca,GPSRCS-100veh-fast,GPSRCS,100,fast,,default,2,1000.0,871.0,0.871,10.030239955162,,,,,,1.0,0.5816655907036798,0.017,0.020660905353524,0.18215859269048,0.0,2.4447601234037,1000.0,0.0237209016688,0.19501060638362,0.0,2.4447601234037,871.0,81,81,2,0
GPSRCS-100veh-fast-e300-rep3-#0.sca,GPSRCS-100veh-fast,GPSRCS,100,fast,,default,3,1000.0,864.0,0.864,1.603779190434,,,,,,1.0,0.6581650726177825,0.813,1.8595070335626,1.4960722433343,0.0,8.7307909591913,1000.0,0.94853275568877,1.7447904425598,0.0,8.7307909591913,864.0,87,87,1,0
GPSRCS-100veh-fast-e500-rep1-#0.sca,GPSRCS-100veh-fast,GPSRCS,100,fast,,default,1,1000.0,990.0,0.99,0.45998812462525,,,,,,1.0,0.8657616892911011,0.839,2.9787451833177,2.2395983617521,0.0,10.44341117277,1000.0,2.9904995580318,2.2484326932206,0.0,10.44341117277,990.0,6,6,0,0
GPSRCS-100veh-fast-e700-rep4-#0.sca,GPSRCS-100veh-fast,GPSRCS,100,fast,,default,4,1000.0,853.0,0.853,2.0293599691735,,,,,,1.0,0.8046370201444317,0.902,2.5583073677408,1.3034170217971,0.0,6.1932725648388,1000.0,0.56887002469467,0.90209658480287,0.0,6.1932725648388,853.0,110,110,2,0
GPSRCS-100veh-fast-e900-rep5-#0.sca,GPSRCS-100veh-fast,GPSRCS,100,fast,,default,5,1000.0,886.0,0.886,4.6958191297686,,,,,,1.0,0.769334229993275,0.826,3.0639065650428,2.1161259579155,0.0,10.673507128794,1000.0,1.953767037592,2.3055833442833,0.0,10.673507128794,886.0,62,62,1,0
GPSRCS-20veh-e100-rep2-#0.sca,GPSRCS-20veh,GPSRCS,20,slow,,default,2,1000.0,926.0,0.926,1.257055362338,,,,,,1.161,0.7533109310140343,0.86907838070629,2.8428749610113,1.9488949846083,0.0,8.9468963721571,1161.0,1.211346252014,2.0189305937587,0.0,8.9468963721571,926.0,10,10,51,0
GPSRCS-20veh-e300-rep3-#0.sca,GPSRCS-20veh,GPSRCS,20,slow,,default,3,1000.0,932.0,0.932,1.2790164650987,,,,,,1.125,0.7322335025380711,0.85866666666667,2.7025945925694,1.883989869078,0.0,8.7897303189388,1125.0,1.2095758954833,2.0134427765344,0.0,8.7897303189388,932.0,17,17,39,0
GPSRCS-20veh-e500-rep1-#0.sca,GPSRCS-20veh,GPSRCS,20,slow,,default,1,1000.0,923.0,0.923,1.2356466919415,,,,,,1.113,0.7390029325513197,0.87511230907457,2.6791764936399,1.8553782393001,0.0,8.8143695314126,1113.0,1.214600030218,2.0150267468253,0.0,8.8143695314126,923.0,13,13,37,0
GPSRCS-20veh-e700-rep4-#0.sca,GPSRCS-20veh,GPSRCS,20,slow,,default,4,1000.0,940.0,0.94,1.2616827935904,,,,,,1.075,0.7377156584407076,0.86697674418605,2.6877592846023,1.8419679636701,0.0,8.9351492969965,1075.0,1.2000707860134,2.0070986546554,0.0,8.9351492969965,940.0,7,7,33,0
GPSRCS-20veh-e900-rep5-#0.sca,GPSRCS-20veh,GPSRCS,20,slow,,default,5,1000.0,937.0,0.937,2.3274158553042,,,,,,1.097,0.7399527186761229,0.86964448495898,2.6937729352974,1.8596359490227,0.0,8.9419647675389,1097.0,1.1995833554874,2.0153751781648,0.0,8.9419647675389,937.0,15,15,36,0
GPSRCS-20veh-fast-e100-rep2-#0.sca,GPSRCS-20veh-fast,GPSRCS,20,fast,,default,2,1000.0,832.0,0.832,1.5094749623161001,,,,,,1.219,0.7423621460506706,0.33880229696473,0.88098029408523,1.8077782048316,0.0,11.088806857921,1219.0,0.2208269259359,0.81480235781289,0.0,6.4592354159544,832.0,91,91,57,0
GPSRCS-20veh-fast-e300-rep3-#0.sca,GPSRCS-20veh-fast,GPSRCS,20,fast,,default,3,1000.0,854.0,0.854,1.5051196390726,,,,,,1.297,0.8138991629355655,0.87124132613724,2.7529826666311,2.6275221205052,0.0,11.304574070918,1297.0,0.9742322512828,1.5689136470399,0.0,7.8365819880748,854.0,77,77,49,0
GPSRCS-20veh-fast-e500-rep1-#0.sca,GPSRCS-20veh-fast,GPSRCS,20,fast,,default,1,1000.0,829.0,0.829,1.4296998313269,,,,,,1.256,0.8224788020927296,0.88375796178344,3.8422979398098,2.9518788983082,0.0,14.176486428575,1256.0,1.5416166526097,2.0675260501916,0.0,9.1225081360221,829.0,82,82,60,0
GPSRCS-20veh-fast-e700-rep4-#0.sca,GPSRCS-20veh-fast,GPSRCS,20,fast,,default,4,1000.0,838.0,0.838,1.470796216673,,,,,,1.211,0.8331688055281342,0.89017341040462,4.1966188618848,2.9919207947842,0.0,15.730792316848,1211.0,1.6680847910645,2.1882730613465,0.0,9.1609482775204,838.0,94,94,43,0
GPSRCS-20veh-fast-e900-rep5-#0.sca,GPSRCS-20veh-fast,GPSRCS,20,fast,,default,5,1000.0,875.0,0.875,1.4735706137246,,,,,,1.207,0.8435307872174591,0.90969345484673,4.3645882920249,3.1075393675813,0.0,15.984836943176,1207.0,1.4522278585037,1.8361766889679,0.0,8.1227339405705,875.0,62,62,46,0
GPSRCS-40veh-e100-rep2-#0.sca,GPSRCS-40veh,GPSRCS,40,slow,,default,2,1000.0,987.0,0.987,1.139930563997,,,,,,1.0,0.46783416726233024,0.061,0.10279174700315,0.49615920734546,0.0,4.0870489797592,1000.0,0.10414564032741,0.49927799393501,0.0,4.0870489797592,987.0,13,13,0,0
GPSRCS-40veh-e300-rep3-#0.sca,GPSRCS-40veh,GPSRCS,40,slow,,default,3,1000.0,971.0,0.971,7.0686714389917,,,,,,1.0,0.5766290498725882,0.85,1.4157859068379,1.3034496320489,0.0,6.9321205162617,1000.0,0.65588002879084,1.4281708627247,0.0,6.9321205162617,971.0,29,29,0,0
GPSRCS-40veh-e500-rep1-#0.sca,GPSRCS-40veh,GPSRCS,40,slow,,default,1,1000.0,983.0,0.983,1.0887426313377,,,,,,1.0,0.6548446069469835,0.862,2.2949586947689,1.4565677635003,0.0,8.3907206459283,1000.0,0.8345875539097,1.624497121514,0.0,8.3907206459283,983.0,17,17,0,0
GPSRCS-40veh-e700-rep4-#0.sca,GPSRCS-40veh,GPSRCS,40,slow,,default,4,1000.0,982.0,0.982,1.0985744988666002,,,,,,1.0,0.7640366972477064,0.872,2.8606539806975,1.5783049790824,0.0,7.9061606467772,1000.0,1.2493405767409,1.5916185437096,0.0,7.9061606467772,982.0,18,18,0,0
GPSRCS-40veh-e900-rep5-#0.sca,GPSRCS-40veh,GPSRCS,40,slow,,default,5,1000.0,979.0,0.979,1.118369220668,,,,,,1.0,0.8391016200294551,0.885,3.0089846779887,1.7346204971451,0.0,8.5405979434169,1000.0,1.4681583274045,1.668009461836,0.0,8.5405979434169,979.0,21,21,0,0
GPSRCS-40veh-fast-e100-rep2-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,2,1000.0,886.0,0.886,2.6983162433251002,,,,,,1.0,0.6193029490616622,0.04,0.061616604028601,0.41794844835257,0.0,5.2332079483489,1000.0,0.065373243801161,0.43748699904548,0.0,5.2332079483489,886.0,104,104,3,0
GPSRCS-40veh-fast-e300-rep3-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,3,1000.0,890.0,0.89,1.7864342526303,,,,,,1.001,0.6663773148148148,0.54945054945055,0.82798005354551,1.373104503879,0.0,9.4908563482017,1001.0,0.59893571492985,1.3532190091314,0.0,7.1187092703788,890.0,81,81,7,0
GPSRCS-40veh-fast-e500-rep1-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,1,1000.0,901.0,0.901,2.3445345047825,,,,,,1.0,0.7284222100054976,0.858,2.4514517204554,1.7487873550088,0.0,9.5765473477669,1000.0,1.2312965867923,2.029623611511,0.0,9.5765473477669,901.0,76,76,11,0
GPSRCS-40veh-fast-e700-rep4-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,4,1000.0,881.0,0.881,6.9028111261317,,,,,,1.0,0.7455778301886793,0.862,2.9219490931089,1.9114608574052,0.0,9.6682118581006,1000.0,1.4403599033903,2.1551246193375,0.0,9.6682118581006,881.0,93,93,4,0
GPSRCS-40veh-fast-e900-rep5-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,5,1000.0,986.0,0.986,0.45017155772921,,,,,,1.048,0.8817635270541082,0.90458015267176,5.1509210589208,3.6326632081406,0.0,15.572834500618,1048.0,4.7949556052486,3.7048377699349,0.0,15.572834500618,986.0,9,9,3,0
