config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
GPSRCS-100veh,GPSRCS,100,slow,,e300,0.45825578128089,1.2366856571805,0.0,6.6235709984801,959.0,0.5822911893664,1.199463087763,0.0,6.6235709984801,1000.0,0.0072684729177623,1000,0.435,1,1000.0,959.0,0.959,3,GPSRCS-100veh-e300-rep3-#0.sca
GPSRCS-100veh-fast,GPSRCS,100,fast,,e300,0.94853275568877,1.7447904425598,0.0,8.7307909591913,864.0,1.8595070335626,1.4960722433343,0.0,8.7307909591913,1000.0,0.001603779190434,1000,0.813,1,1000.0,864.0,0.864,3,GPSRCS-100veh-fast-e300-rep3-#0.sca
GPSRCS-20veh,GPSRCS,20,slow,,e300,1.2095758954833,2.0134427765344,0.0,8.7897303189388,932.0,2.7025945925694,1.883989869078,0.0,8.7897303189388,1125.0,0.0012790164650987,1125,0.85866666666667,1,1000.0,932.0,0.932,3,GPSRCS-20veh-e300-rep3-#0.sca
GPSRCS-20veh-fast,GPSRCS,20,fast,,e300,0.9742322512828,1.5689136470399,0.0,7.8365819880748,854.0,2.7529826666311,2.6275221205052,0.0,11.304574070918,1297.0,0.0015051196390726,1297,0.87124132613724,1,1000.0,854.0,0.854,3,GPSRCS-20veh-fast-e300-rep3-#0.sca
GPSRCS-40veh,GPSRCS,40,slow,,e300,0.65588002879084,1.4281708627247,0.0,6.9321205162617,971.0,1.4157859068379,1.3034496320489,0.0,6.9321205162617,1000.0,0.0070686714389917,1000,0.85,1,1000.0,971.0,0.971,3,GPSRCS-40veh-e300-rep3-#0.sca
GPSRCS-40veh-fast,GPSRCS,40,fast,,e300,0.59893571492985,1.3532190091314,0.0,7.1187092703788,890.0,0.82798005354551,1.373104503879,0.0,9.4908563482017,1001.0,0.0017864342526303,1001,0.54945054945055,1,1000.0,890.0,0.89,3,GPSRCS-40veh-fast-e300-rep3-#0.sca
GPSRCS-60veh,GPSRCS,60,slow,,e300,0.64594520456379,1.4041219389221,0.0,7.0898655471286,961.0,0.85283598503144,1.3314834516567,0.0,7.0898655471286,1000.0,0.0070595689647888,1000,0.727,1,1000.0,961.0,0.961,3,GPSRCS-60veh-e300-rep3-#0.sca
GPSRCS-60veh-fast,GPSRCS,60,fast,,e300,0.43842892990936,1.2702774914945,0.0,8.4536891415133,942.0,0.46327124735837,1.2286397932237,0.0,8.4536891415133,1000.0,0.00058757196293418,1000,0.317,1,1000.0,942.0,0.942,3,GPSRCS-60veh-fast-e300-rep3-#0.sca
GPSRCS-80veh,GPSRCS,80,slow,,e300,0.38251669223186,1.0871114510396,0.0,7.2307737865507,966.0,0.42190342328307,1.0638322217374,0.0,7.2307737865507,1000.0,0.004619040065882,1000,0.314,1,1000.0,966.0,0.966,3,GPSRCS-80veh-e300-rep3-#0.sca
GPSRCS-80veh-fast,GPSRCS,80,fast,,e300,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,0.000244962112912,1000,0.933,1,1000.0,1000.0,1.0,3,GPSRCS-80veh-fast-e300-rep3-#0.sca
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e300,0.31025742257914,0.17912198528061,0.0092211483291678,0.59523749781442,22.0,0.48773401411695,0.2126019233168,0.038720781857126,1.8596577890967,1570.0,0.0015723346874091,1570,1.0,1,1000.0,22.0,0.022,3,UFRPLS-100veh-a01-e300-rep3-#0.sca
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e300,1.0385836641185,0.29150300319246,0.14302606097757,1.2877627652176,21.0,1.2277364110852,0.20397248256584,0.40533890922648,2.9977044753526,1468.0,0.0018188002234286,1468,1.0,1,1000.0,21.0,0.021,3,UFRPLS-100veh-a03-e300-rep3-#0.sca
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e300,1.6112444964638,0.54816688111863,1.0196602596389,2.6327563602905,17.0,1.8750499894556,0.56779685511104,0.01237114640174,3.9822824061438,1877.0,0.0013832504569412,1877,1.0,1,1000.0,17.0,0.017,3,UFRPLS-100veh-a03-fast-e300-rep3-#0.sca
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e300,2.6786111400942,0.42648025335035,0.54986672159624,3.278158505793,35.0,2.8071937213968,0.47611305727671,0.22373920286752,5.1234330086592,2423.0,0.0021535080679714,2423,1.0,1,1000.0,35.0,0.035,3,UFRPLS-100veh-a05-e300-rep3-#0.sca
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e300,2.7217577524364,0.51828714863489,0.08150137299603,2.9875191433722,30.0,2.8792325662664,0.27965783575278,0.063803158121956,4.6136164492738,1869.0,0.035657616888567,1869,1.0,1,1000.0,30.0,0.03,3,UFRPLS-100veh-a05-fast-e300-rep3-#0.sca
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e300,5.4717834349024,1.3687862389534,2.7896170608918,6.8818744181478,22.0,6.2539326087142,1.1238021906506,0.19509577491895,10.058320180424,7106.0,0.00098856609672727,7106,1.0,1,1000.0,22.0,0.022,3,UFRPLS-100veh-a07-e300-rep3-#0.sca
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e300,6.5917505930613,0.33393349097055,6.0441765468227,7.3610333440119,20.0,6.5023495563241,0.86946722482676,0.61100213609224,8.5448261684272,3836.0,0.0014227979306,3836,1.0,1,1000.0,20.0,0.02,3,UFRPLS-100veh-a07-fast-e300-rep3-#0.sca
