protocol,n,alpha,speed,avg_min_cs_mean,avg_min_cs_std,avg_min_cs_stddev_mean,avg_min_cs_stddev_std,avg_min_cs_min_mean,avg_min_cs_max_mean,avg_min_cs_count_mean,avg_cs_mean,avg_cs_std,avg_cs_stddev_mean,avg_cs_stddev_std,avg_cs_min_mean,avg_cs_max_mean,avg_cs_count_mean,delay_mean_s,delay_std_s,hops_mean,hops_std,secure_ratio_mean,secure_ratio_std,pdr_mean,pdr_std,pkt_recv_mean,count,cs_pos_max_val,cs_pos_max_tag,cs_pos_min_val,cs_pos_min_tag,delay_pos_max_val,delay_pos_max_tag,delay_pos_min_val,delay_pos_min_tag,pdr_pos_max_val,pdr_pos_max_tag,pdr_pos_min_val,pdr_pos_min_tag
GPSRCS,20,-1.0,fast,1.6680847910645,,2.1882730613465,,0.0,9.1609482775204,838.0,4.1966188618848,,2.9919207947842,,0.0,15.730792316848,1211.0,0.001470796216673,,1211.0,,0.89017341040462,,0.838,,838.0,1,1.6680847910645,e700,1.6680847910645,e700,0.001470796216673,e700,0.001470796216673,e700,0.838,e700,0.838,e700
GPSRCS,20,-1.0,slow,1.2000707860134,,2.0070986546554,,0.0,8.9351492969965,940.0,2.6877592846023,,1.8419679636701,,0.0,8.9351492969965,1075.0,0.0012616827935904,,1075.0,,0.86697674418605,,0.94,,940.0,1,1.2000707860134,e700,1.2000707860134,e700,0.0012616827935904,e700,0.0012616827935904,e700,0.94,e700,0.94,e700
GPSRCS,40,-1.0,fast,1.4403599033903,,2.1551246193375,,0.0,9.6682118581006,881.0,2.9219490931089,,1.9114608574052,,0.0,9.6682118581006,1000.0,0.0069028111261317,,1000.0,,0.862,,0.881,,881.0,1,1.4403599033903,e700,1.4403599033903,e700,0.0069028111261317,e700,0.0069028111261317,e700,0.881,e700,0.881,e700
GPSRCS,40,-1.0,slow,1.2493405767409,,1.5916185437096,,0.0,7.9061606467772,982.0,2.8606539806975,,1.5783049790824,,0.0,7.9061606467772,1000.0,0.0010985744988666,,1000.0,,0.872,,0.982,,982.0,1,1.2493405767409,e700,1.2493405767409,e700,0.0010985744988666,e700,0.0010985744988666,e700,0.982,e700,0.982,e700
GPSRCS,60,-1.0,fast,3.7126547542705,,3.1424321594622,,0.0,12.627317518276,953.0,4.069154580504,,2.7965367389737,,0.0,12.627317518276,1000.0,0.00053386862673347,,1000.0,,0.914,,0.953,,953.0,1,3.7126547542705,e700,3.7126547542705,e700,0.00053386862673347,e700,0.00053386862673347,e700,0.953,e700,0.953,e700
GPSRCS,60,-1.0,slow,1.0844117340727,,1.6314443018881,,0.0,7.8511266166909,947.0,2.7454482678655,,1.5299761223779,,0.0,7.8511266166909,1000.0,0.0034816182695998,,1000.0,,0.862,,0.947,,947.0,1,1.0844117340727,e700,1.0844117340727,e700,0.0034816182695998,e700,0.0034816182695998,e700,0.947,e700,0.947,e700
GPSRCS,80,-1.0,fast,2.7552200585768,,2.3008357425447,,0.0,11.551730531514,953.0,2.8886405911817,,2.168181529217,,0.0,11.551730531514,1000.0,0.0033706118374533,,1000.0,,0.842,,0.953,,953.0,1,2.7552200585768,e700,2.7552200585768,e700,0.0033706118374533,e700,0.0033706118374533,e700,0.953,e700,0.953,e700
GPSRCS,80,-1.0,slow,1.2083955298199,,1.414088576956,,0.0,7.6224647113505,958.0,2.5709163122608,,1.4492910405701,,0.0,7.6224647113505,1000.0,0.0040293566990428,,1000.0,,0.883,,0.958,,958.0,1,1.2083955298199,e700,1.2083955298199,e700,0.0040293566990428,e700,0.0040293566990428,e700,0.958,e700,0.958,e700
GPSRCS,100,-1.0,fast,0.56887002469467,,0.90209658480287,,0.0,6.1932725648388,853.0,2.5583073677408,,1.3034170217971,,0.0,6.1932725648388,1000.0,0.0020293599691735,,1000.0,,0.902,,0.853,,853.0,1,0.56887002469467,e700,0.56887002469467,e700,0.0020293599691735,e700,0.0020293599691735,e700,0.853,e700,0.853,e700
GPSRCS,100,-1.0,slow,1.079633736566,,1.7924687714133,,0.0,8.0815186707753,961.0,2.310505971568,,1.6188394383808,,0.0,8.0815186707753,1000.0,0.013708626348505,,1000.0,,0.828,,0.961,,961.0,1,1.079633736566,e700,1.079633736566,e700,0.013708626348505,e700,0.013708626348505,e700,0.961,e700,0.961,e700
