config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
GPSRCS-100veh,GPSRCS,100,slow,,e900,1.2224606196564,1.6061156142485,0.0,7.0563975932199,971.0,2.8684315386348,1.6351202769616,0.0,7.0563975932199,1000.0,0.0092653979510793,1000,0.857,1,1000.0,971.0,0.971,5,GPSRCS-100veh-e900-rep5-#0.sca
GPSRCS-100veh-fast,GPSRCS,100,fast,,e900,1.953767037592,2.3055833442833,0.0,10.673507128794,886.0,3.0639065650428,2.1161259579155,0.0,10.673507128794,1000.0,0.0046958191297686,1000,0.826,1,1000.0,886.0,0.886,5,GPSRCS-100veh-fast-e900-rep5-#0.sca
GPSRCS-20veh,GPSRCS,20,slow,,e900,1.1995833554874,2.0153751781648,0.0,8.9419647675389,937.0,2.6937729352974,1.8596359490227,0.0,8.9419647675389,1097.0,0.0023274158553042,1097,0.86964448495898,1,1000.0,937.0,0.937,5,GPSRCS-20veh-e900-rep5-#0.sca
GPSRCS-20veh-fast,GPSRCS,20,fast,,e900,1.4522278585037,1.8361766889679,0.0,8.1227339405705,875.0,4.3645882920249,3.1075393675813,0.0,15.984836943176,1207.0,0.0014735706137246,1207,0.90969345484673,1,1000.0,875.0,0.875,5,GPSRCS-20veh-fast-e900-rep5-#0.sca
GPSRCS-40veh,GPSRCS,40,slow,,e900,1.4681583274045,1.668009461836,0.0,8.5405979434169,979.0,3.0089846779887,1.7346204971451,0.0,8.5405979434169,1000.0,0.001118369220668,1000,0.885,1,1000.0,979.0,0.979,5,GPSRCS-40veh-e900-rep5-#0.sca
GPSRCS-40veh-fast,GPSRCS,40,fast,,e900,4.7949556052486,3.7048377699349,0.0,15.572834500618,986.0,5.1509210589208,3.6326632081406,0.0,15.572834500618,1048.0,0.00045017155772921,1048,0.90458015267176,1,1000.0,986.0,0.986,5,GPSRCS-40veh-fast-e900-rep5-#0.sca
GPSRCS-60veh,GPSRCS,60,slow,,e900,0.5644225897385,0.61446806844206,0.0,3.9156173111509,958.0,2.7229157473754,1.5124110499818,0.0,5.0654052947785,1000.0,0.0073491605391931,1000,0.905,1,1000.0,958.0,0.958,5,GPSRCS-60veh-e900-rep5-#0.sca
GPSRCS-60veh-fast,GPSRCS,60,fast,,e900,4.289475298751,3.9348626039108,0.0,16.094195511738,939.0,4.5294406061817,3.6809014114082,0.0,16.094195511738,1000.0,0.0040472270362407,1000,0.877,1,1000.0,939.0,0.939,5,GPSRCS-60veh-fast-e900-rep5-#0.sca
GPSRCS-80veh,GPSRCS,80,slow,,e900,1.2701144485716,1.6502378426896,0.0,7.3368615607254,963.0,2.891765898266,1.6428204537492,0.0,7.3368615607254,1000.0,0.0014809196555618,1000,0.862,1,1000.0,963.0,0.963,5,GPSRCS-80veh-e900-rep5-#0.sca
GPSRCS-80veh-fast,GPSRCS,80,fast,,e900,3.3019896265211,3.1685726357243,0.0,15.060373760359,907.0,3.5806742047999,2.8606733458778,0.0,15.060373760359,1000.0,0.0037529666864719,1000,0.865,1,1000.0,907.0,0.907,5,GPSRCS-80veh-fast-e900-rep5-#0.sca
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e900,1.0625955593429,0.8712660434487,0.078422718538313,2.1859623128318,14.0,2.7079020826991,1.4056752866581,0.030773315959713,4.6445079471705,3129.0,0.0025417701276429,3129,1.0,1,1000.0,14.0,0.014,5,UFRPLS-100veh-a01-e900-rep5-#0.sca
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e900,1.5052867142055,0.42539950706708,1.0590240201046,2.2680740428476,20.0,2.7653798203914,1.1846728036447,0.089148455777455,5.086382525112,3566.0,0.0038786140752,3566,1.0,1,1000.0,20.0,0.02,5,UFRPLS-100veh-a03-e900-rep5-#0.sca
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e900,1.6742331068595,0.81861659842455,1.0208335266756,3.2945450167965,14.0,2.928999836437,1.209177123517,0.047885746770412,5.8006212409412,2531.0,0.0033257828325,2531,1.0,1,1000.0,14.0,0.014,5,UFRPLS-100veh-a03-fast-e900-rep5-#0.sca
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e900,2.7747283970741,0.096617986976181,2.447289525022,2.9106220061344,43.0,3.4246405142216,0.67823142216697,0.17241490538875,4.7375699326235,3121.0,0.14396184454653,3121,1.0,1,1000.0,43.0,0.043,5,UFRPLS-100veh-a05-e900-rep5-#0.sca
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e900,2.7978258912771,0.55077754558977,0.15007328684183,3.6711818066094,32.0,3.45051001947,0.70905791303371,0.28420751410552,5.9635589826005,2272.0,0.097965118098938,2272,1.0,1,1000.0,32.0,0.032,5,UFRPLS-100veh-a05-fast-e900-rep5-#0.sca
